id,actual_label
251994,good
462222,good
510009,good
638182,good
718727,good
730003,good
738501,good
776844,good
809682,good
827652,good
838568,good
853149,good
861540,good
866475,good
872386,good
894381,good
916449,good
923611,good
936357,good
936715,good
186455,bad
155308,bad
1596861,bad
1591789,bad
1592152,bad
1256695,bad
1099506,bad
524899,bad
1016556,bad
628179,bad
575891,bad
1176746,bad
1176745,bad
1176209,bad
1122391,bad
866379,bad
1577684,bad
1568111,bad
1590409,bad
1578856,bad
233460,bad
372756,bad
602743,bad
726458,bad
738591,bad
795981,bad
801326,bad
808415,bad
824682,bad
828488,bad
843293,bad
852871,bad
865521,bad
875673,bad
924354,bad
933583,bad
939678,bad
940001,good
948882,good
955837,good
959853,bad
960542,good
966595,bad
966619,bad
979281,good
985896,good
988482,bad
993806,good
994950,good
995894,good
1008214,good
1008608,good
1015670,bad
1016434,bad
1025761,bad
1049551,good
1055287,good
1055288,good
1055289,good
1056961,bad
1063010,good
1066223,good
1066360,good
1071077,bad
1074941,good
1089808,bad
1095848,good
1102790,bad
1106791,good
1108496,bad
1109618,good
1112285,good
1117327,bad
1117569,bad
1120405,good
1121836,good
1125557,good
1128127,good
1128151,good
1133558,good
1135005,good
1137481,good
1140305,good
1145663,good
1146023,bad
1151317,bad
1153880,bad
1156056,good
1156518,good
1156821,good
1163044,good
1165916,good
1166434,bad
1168042,good
1175056,good
1181835,bad
1188001,bad
1194132,good
1194346,good
1194666,bad
1199055,bad
1203554,good
1210297,bad
1211084,good
1214868,good
1217162,good
1217207,good
1220408,good
1221429,bad
1230860,bad
1232242,bad
1233964,good
1234404,bad
1237864,bad
1240000,bad
1242566,good
1243010,good
1243361,good
1243549,good
1244013,bad
1246202,bad
1246370,good
1248064,bad
1248159,bad
1248176,bad
1249240,bad
1249665,good
1253272,good
1255286,good
1255826,bad
1259385,good
1259978,good
1260530,bad
1261675,bad
1264551,bad
1265173,bad
1266367,bad
1268560,bad
1268580,bad
1268708,good
1269460,bad
1269998,good
1270431,bad
1271272,bad
1273265,good
1273516,good
1275657,bad
1277153,good
1278075,bad
1280708,bad
1280734,bad
1281231,good
1281286,bad
1281291,bad
1281471,good
1281711,good
1281851,good
1282664,bad
1283050,bad
1283081,bad
1283681,good
1283982,bad
1284312,good
1287578,bad
1288175,bad
1288449,good
1289536,bad
1289575,good
1291680,bad
1293032,good
1293042,bad
1294700,good
1296328,good
1296524,good
1297021,good
1297896,good
1297964,bad
1298690,good
1298942,bad
1299787,good
1300738,bad
1301647,good
1301946,good
1302069,good
1302638,good
1303831,good
1305252,bad
1305789,good
1306287,bad
1307183,good
1307492,good
1309158,bad
1311668,bad
1312607,good
1312874,good
1313026,bad
1314451,good
1315351,bad
1316128,bad
1316548,good
1317895,bad
1318150,bad
1318271,good
1319889,good
1320090,good
1320531,good
1320542,good
1320720,bad
1321441,bad
1322100,good
1322226,good
1322441,good
1323135,good
1323728,good
1323910,good
1324191,good
1325049,good
1325620,good
1326762,good
1331932,bad
1332332,bad
1333153,good
1333669,good
1334859,good
1335694,good
1335907,bad
1338577,good
1338778,bad
1339072,good
1339400,bad
1341583,good
1342802,good
1344494,good
1344568,bad
1345425,bad
1346539,bad
1347451,good
1347929,good
1348015,bad
1348457,good
1348813,bad
1350776,good
1358475,good
1358892,bad
1360348,good
1364119,good
1364688,bad
1368321,good
1373924,bad
1376446,bad
1376827,bad
1377721,bad
1379043,good
1389066,good
1389134,good
1389575,good
1390056,bad
1390249,bad
1391213,good
1392632,bad
1392812,bad
1394058,good
1394737,good
1395716,bad
