id,actual_label
2222,bad
5714,neutral
13812,good
14032,neutral
14797,good
15284,neutral
16981,good
21508,bad
23236,neutral
28051,neutral
29137,bad
30168,bad
32749,bad
35430,neutral
37034,bad
48095,neutral
52939,good
53031,good
56335,neutral
65431,bad
66197,neutral
69067,good
71112,bad
73794,bad
89504,good
96888,neutral
97579,neutral
102255,neutral
104276,good
105409,good
106461,bad
107388,bad
114982,bad
120113,good
125857,bad
127095,bad
127660,good
128291,neutral
139403,good
139424,good
142440,bad
143933,good
157754,good
179313,good
183547,bad
194561,neutral
196084,good
204151,good
206254,bad
208522,bad
217735,neutral
217837,neutral
218663,bad
220193,bad
223129,neutral
226027,good
231065,neutral
233009,neutral
235424,good
235669,neutral
236044,neutral
236319,bad
236998,good
239176,bad
243723,neutral
244783,good
248393,neutral
256861,good
259400,bad
260451,neutral
261380,bad
263955,bad
273311,neutral
274228,good
284811,good
287436,good
292805,bad
295140,bad
299847,good
301318,neutral
301713,neutral
302204,bad
305709,good
317688,neutral
320143,good
322279,neutral
322802,good
339613,neutral
344821,bad
347484,bad
348817,bad
352816,neutral
356239,bad
361783,neutral
363382,good
368733,good
372536,bad
375869,good
376670,good
